i	code	mirror	scanner hex
345	-----		0x59 0x01
346	BRVGY		0x5a 0x01
347	BRVPY		0x5b 0x01
348	-----		0x5c 0x01
349	BRVTY		0x5d 0x01
350	BRVLY		0x5e 0x01
351	BRVGT		0x5f 0x01
352	BRVPT		0x60 0x01
353	-----		0x61 0x01
354	BRVYT		0x62 0x01
355	BRVLT		0x63 0x01
356	BRVGL		0x64 0x01
357	BRVPL		0x65 0x01
358	-----		0x66 0x01
359	BRVYL		0x67 0x01
360	BRVTL		0x68 0x01
361	BRTPG		0x69 0x01
362	-----		0x6a 0x01
363	BRTYG		0x6b 0x01
364	BRTVG		0x6c 0x01
365	BRTLG		0x6d 0x01
366	BRTGP		0x6e 0x01
367	-----		0x6f 0x01
368	BRTYP		0x70 0x01
369	BRTVP		0x71 0x01
370	BRTLP		0x72 0x01
371	-----		0x73 0x01
372	-----		0x74 0x01
373	-----		0x75 0x01
374	-----		0x76 0x01
375	-----		0x77 0x01
376	BRTGY		0x78 0x01
377	BRTPY		0x79 0x01
378	-----		0x7a 0x01
379	BRTVY		0x7b 0x01
380	BRTLY		0x7c 0x01
381	BRTGV		0x7d 0x01
382	BRTPV		0x7e 0x01
383	-----		0x7f 0x01
384	BRTYV		0x80 0x01
385	BRTLV		0x81 0x01
386	BRTGL		0x82 0x01
387	BRTPL		0x83 0x01
388	-----		0x84 0x01
389	BRTYL		0x85 0x01
390	BRTVL		0x86 0x01
391	BRLPG		0x87 0x01
392	-----		0x88 0x01
393	BRLYG		0x89 0x01
394	BRLVG		0x8a 0x01
395	BRLTG		0x8b 0x01
396	BRLGP		0x8c 0x01
397	-----		0x8d 0x01
398	BRLYP		0x8e 0x01
399	BRLVP		0x8f 0x01
400	BRLTP		0x90 0x01
401	-----		0x91 0x01
402	-----		0x92 0x01
403	-----		0x93 0x01
404	-----		0x94 0x01
405	-----		0x95 0x01
406	BRLGY		0x96 0x01
407	BRLPY		0x97 0x01
408	-----		0x98 0x01
409	BRLVY		0x99 0x01
410	BRLTY		0x9a 0x01
411	BRLGV		0x9b 0x01
412	BRLPV		0x9c 0x01
413	-----		0x9d 0x01
414	BRLYV		0x9e 0x01
415	BRLTV		0x9f 0x01
416	BRLGT		0xa0 0x01
417	BRLPT		0xa1 0x01
418	-----		0xa2 0x01
419	BRLYT		0xa3 0x01
420	BRLVT		0xa4 0x01
